time,x,z,u,w,Fx,Fz,theta,thrust
3.050000,8.411648,0.000000,5.362599,0.000000,16.066608,0.000000,0.087266,16.492215
3.100000,8.681780,0.000000,5.442670,0.000000,16.014282,0.000000,0.087266,16.450851
3.150000,8.955908,0.000000,5.522479,0.000000,15.961906,0.000000,0.087266,16.409570
3.200000,9.234021,0.000000,5.602027,0.000000,15.909484,0.000000,0.087266,16.368371
3.250000,9.516104,0.000000,5.681312,0.000000,15.857018,0.000000,0.087266,16.327256
3.300000,9.802146,0.000000,5.760335,0.000000,15.804509,0.000000,0.087266,16.286225
3.350000,10.092131,0.000000,5.839094,0.000000,15.751961,0.000000,0.087266,16.245279
3.400000,10.386048,0.000000,5.917591,0.000000,15.699376,0.000000,0.087266,16.204418
3.450000,10.683884,0.000000,5.995825,0.000000,15.646755,0.000000,0.087266,16.163643
3.500000,10.985624,0.000000,6.073795,0.000000,15.594101,0.000000,0.087266,16.122955
3.550000,11.291257,0.000000,6.151503,0.000000,15.541416,0.000000,0.087266,16.082354
3.600000,11.600768,0.000000,6.228946,0.000000,15.488703,0.000000,0.087266,16.041840
3.650000,11.914145,0.000000,6.306126,0.000000,15.435964,0.000000,0.087266,16.001415
3.700000,12.231374,0.000000,6.383042,0.000000,15.383200,0.000000,0.087266,15.961079
3.750000,12.552442,0.000000,6.459694,0.000000,15.330414,0.000000,0.087266,15.920832
3.800000,12.877337,0.000000,6.536082,0.000000,15.277609,0.000000,0.087266,15.880675
